ESP_Timestamp_ms,Jetson_Timestamp_ms,Latency_ms,Datetime
1745979804031,1745979807736,3705,2025-04-30 10:23:27
1745979808240,1745979808917,677,2025-04-30 10:23:28
1745979809489,1745979810098,609,2025-04-30 10:23:30
1745979817669,1745979838021,20352,2025-04-30 10:23:58
1745979835728,1745979838039,2311,2025-04-30 10:23:58
1745979838530,1745979839139,609,2025-04-30 10:23:59
1745979811648,1745979811505,-143,2025-04-30 10:23:31
1745979840791,1745979840379,-412,2025-04-30 10:24:00
1745979841880,1745979841460,-420,2025-04-30 10:24:01
1745979842954,1745979842551,-403,2025-04-30 10:24:02
1745979843015,1745979843593,578,2025-04-30 10:24:03
1745979823715,1745979843980,20265,2025-04-30 10:24:03
1745979844058,1745979844649,591,2025-04-30 10:24:04
1745979845118,1745979846096,978,2025-04-30 10:24:06
1745979847608,1745979847560,-48,2025-04-30 10:24:07
1745979848015,1745979848593,578,2025-04-30 10:24:08
1745979849547,1745979850500,953,2025-04-30 10:24:10
1745979851059,1745979851658,599,2025-04-30 10:24:11
1745979852201,1745979852971,770,2025-04-30 10:24:12
1745979854210,1745979855062,852,2025-04-30 10:24:15
1745979856077,1745979856875,798,2025-04-30 10:24:16
1745979858000,1745979858659,659,2025-04-30 10:24:18
1745979859173,1745979859769,596,2025-04-30 10:24:19
1745979860231,1745979860810,579,2025-04-30 10:24:20
1745979861424,1745979862005,581,2025-04-30 10:24:22
1745979862497,1745979863206,709,2025-04-30 10:24:23
1745979864667,1745979864248,-419,2025-04-30 10:24:24
1745979865701,1745979865297,-404,2025-04-30 10:24:25
1745979866757,1745979866339,-418,2025-04-30 10:24:26
1745979867823,1745979867431,-392,2025-04-30 10:24:27
1745979869650,1745979869455,-195,2025-04-30 10:24:29
1745979870105,1745979870687,582,2025-04-30 10:24:30
1745979871170,1745979872031,861,2025-04-30 10:24:32
1745979873771,1745979873350,-421,2025-04-30 10:24:33
1745979874814,1745979874477,-337,2025-04-30 10:24:34
1745979875931,1745979875592,-339,2025-04-30 10:24:35
1745979876046,1745979876819,773,2025-04-30 10:24:36
1745979877356,1745979878147,791,2025-04-30 10:24:38
1745979879599,1745979879382,-217,2025-04-30 10:24:39
1745979880081,1745979880665,584,2025-04-30 10:24:40
1745979881119,1745979881697,578,2025-04-30 10:24:41
1745979882201,1745979882788,587,2025-04-30 10:24:42
1745979883252,1745979883836,584,2025-04-30 10:24:43
1745979884420,1745979885029,609,2025-04-30 10:24:45
1745979885488,1745979886069,581,2025-04-30 10:24:46
1745979887591,1745979887185,-406,2025-04-30 10:24:47
1745979888648,1745979888231,-417,2025-04-30 10:24:48
1745979889724,1745979889330,-394,2025-04-30 10:24:49
1745979890952,1745979890564,-388,2025-04-30 10:24:50
1745979891017,1745979891604,587,2025-04-30 10:24:51
1745979892116,1745979892710,594,2025-04-30 10:24:52
1745979893174,1745979893773,599,2025-04-30 10:24:53
1745979894278,1745979894882,604,2025-04-30 10:24:54
1745979895333,1745979895926,593,2025-04-30 10:24:55
1745979896554,1745979897135,581,2025-04-30 10:24:57
1745979898625,1745979898326,-299,2025-04-30 10:24:58
1745979899969,1745979899586,-383,2025-04-30 10:24:59
1745979900038,1745979900621,583,2025-04-30 10:25:00
1745979901150,1745979901731,581,2025-04-30 10:25:01
1745979902244,1745979902846,602,2025-04-30 10:25:02
1745979903306,1745979903887,581,2025-04-30 10:25:03
1745979904520,1745979905133,613,2025-04-30 10:25:05
1745979905583,1745979906164,581,2025-04-30 10:25:06
1745979907668,1745979907256,-412,2025-04-30 10:25:07
1745979908715,1745979908296,-419,2025-04-30 10:25:08
1745979909747,1745979909366,-381,2025-04-30 10:25:09
1745979910859,1745979910440,-419,2025-04-30 10:25:10
1745979911892,1745979911470,-422,2025-04-30 10:25:11
1745979912964,1745979912658,-306,2025-04-30 10:25:12
1745979913206,1745979914099,893,2025-04-30 10:25:14
1745979915720,1745979915316,-404,2025-04-30 10:25:15
1745979916100,1745979916684,584,2025-04-30 10:25:16
1745979917196,1745979917781,585,2025-04-30 10:25:17
1745979918235,1745979918815,580,2025-04-30 10:25:18
1745979919347,1745979919963,616,2025-04-30 10:25:19
1745979920507,1745979921088,581,2025-04-30 10:25:21
1745979921541,1745979922125,584,2025-04-30 10:25:22
1745979923732,1745979923311,-421,2025-04-30 10:25:23
1745979924815,1745979924398,-417,2025-04-30 10:25:24
1745979925880,1745979925472,-408,2025-04-30 10:25:25
1745979926138,1745979926717,579,2025-04-30 10:25:26
1745979927169,1745979927753,584,2025-04-30 10:25:27
1745979928213,1745979928835,622,2025-04-30 10:25:28
1745979929298,1745979929876,578,2025-04-30 10:25:29
1745979930330,1745979930909,579,2025-04-30 10:25:30
1745979931362,1745979931941,579,2025-04-30 10:25:31
1745979932404,1745979932989,585,2025-04-30 10:25:32
1745979933440,1745979934018,578,2025-04-30 10:25:34
1745979934542,1745979935125,583,2025-04-30 10:25:35
1745979936588,1745979936169,-419,2025-04-30 10:25:36
1745979937612,1745979937190,-422,2025-04-30 10:25:37
1745979938663,1745979938248,-415,2025-04-30 10:25:38
1745979939710,1745979939293,-417,2025-04-30 10:25:39
1745979940743,1745979940326,-417,2025-04-30 10:25:40
1745979941786,1745979941367,-419,2025-04-30 10:25:41
1745979942831,1745979942416,-415,2025-04-30 10:25:42
1745979943879,1745979943478,-401,2025-04-30 10:25:43
1745979944960,1745979944590,-370,2025-04-30 10:25:44
1745979945056,1745979945643,587,2025-04-30 10:25:45
1745979946092,1745979948882,2790,2025-04-30 10:25:48
1745979949363,1745979949946,583,2025-04-30 10:25:49
1745979950415,1745979950993,578,2025-04-30 10:25:50
1745979951556,1745979952138,582,2025-04-30 10:25:52
1745979953621,1745979953210,-411,2025-04-30 10:25:53
1745979954666,1745979954248,-418,2025-04-30 10:25:54
1745979955709,1745979955299,-410,2025-04-30 10:25:55
1745979956800,1745979956385,-415,2025-04-30 10:25:56
1745979957837,1745979957422,-415,2025-04-30 10:25:57
1745979958915,1745979958494,-421,2025-04-30 10:25:58
1745979959957,1745979959565,-392,2025-04-30 10:25:59
1745979960066,1745979960645,579,2025-04-30 10:26:00
1745979961098,1745979961682,584,2025-04-30 10:26:01
1745979962143,1745979962729,586,2025-04-30 10:26:02
1745979963188,1745979963810,622,2025-04-30 10:26:03
1745979964539,1745979965166,627,2025-04-30 10:26:05
1745979966636,1745979966219,-417,2025-04-30 10:26:06
1745979967678,1745979967263,-415,2025-04-30 10:26:07
1745979968760,1745979968354,-406,2025-04-30 10:26:08
1745979969841,1745979969425,-416,2025-04-30 10:26:09
1745979970898,1745979970480,-418,2025-04-30 10:26:10
1745979971003,1745979971601,598,2025-04-30 10:26:11
1745979972067,1745979972701,634,2025-04-30 10:26:12
1745979973215,1745979973831,616,2025-04-30 10:26:13
1745979977341,1745979978237,896,2025-04-30 10:26:18
1745979981871,1745979981462,-409,2025-04-30 10:26:21
1745979982922,1745979982506,-416,2025-04-30 10:26:22
1745979983968,1745979983585,-383,2025-04-30 10:26:23
1745979984087,1745979984699,612,2025-04-30 10:26:24
1745979985262,1745979985844,582,2025-04-30 10:26:25
1745979986314,1745979986895,581,2025-04-30 10:26:26
1745979987356,1745979987953,597,2025-04-30 10:26:27
1745979988442,1745979989034,592,2025-04-30 10:26:29
1745979990736,1745979990314,-422,2025-04-30 10:26:30
1745979991777,1745979991357,-420,2025-04-30 10:26:31
1745979992830,1745979992435,-395,2025-04-30 10:26:32
1745979993928,1745979993507,-421,2025-04-30 10:26:33
1745979994010,1745979994615,605,2025-04-30 10:26:34
1745979995101,1745979995711,610,2025-04-30 10:26:35
1745979996174,1745979996754,580,2025-04-30 10:26:36
1745979997437,1745979998050,613,2025-04-30 10:26:38
1745980001870,1745980001455,-415,2025-04-30 10:26:41
1745980002911,1745980002493,-418,2025-04-30 10:26:42
1745980003969,1745980003562,-407,2025-04-30 10:26:43
1745980004060,1745980004643,583,2025-04-30 10:26:44
1745980005131,1745980005710,579,2025-04-30 10:26:45
1745980006255,1745980006886,631,2025-04-30 10:26:46
1745980007423,1745980008022,599,2025-04-30 10:26:48
1745980009595,1745980009180,-415,2025-04-30 10:26:49
1745980010631,1745980010243,-388,2025-04-30 10:26:50
1745980011894,1745980011497,-397,2025-04-30 10:26:51
1745980012023,1745980012662,639,2025-04-30 10:26:52
1745980013111,1745980013690,579,2025-04-30 10:26:53
1745980014142,1745980014721,579,2025-04-30 10:26:54
1745980015233,1745980016005,772,2025-04-30 10:26:56
1745980021409,1745980024917,3508,2025-04-30 10:27:04
1745980029713,1745980029685,-28,2025-04-30 10:27:09
1745980030541,1745980031167,626,2025-04-30 10:27:11
1745980032790,1745980032430,-360,2025-04-30 10:27:12
1745980033113,1745980033701,588,2025-04-30 10:27:13
1745980034439,1745980035289,850,2025-04-30 10:27:15
1745980036387,1745980037189,802,2025-04-30 10:27:17
1745980038915,1745980038562,-353,2025-04-30 10:27:18
1745980039070,1745980039945,875,2025-04-30 10:27:19
1745980041785,1745980041366,-419,2025-04-30 10:27:21
1745980042896,1745980045401,2505,2025-04-30 10:27:25
1745980046871,1745980046465,-406,2025-04-30 10:27:26
1745980050793,1745980050378,-415,2025-04-30 10:27:30
1745980051337,1745980051959,622,2025-04-30 10:27:31
1745980052419,1745980053001,582,2025-04-30 10:27:33
1745980056934,1745980056679,-255,2025-04-30 10:27:36
1745980057139,1745980058022,883,2025-04-30 10:27:38
1745980058502,1745980059414,912,2025-04-30 10:27:39
1745980060895,1745980060543,-352,2025-04-30 10:27:40
1745980061484,1745980062279,795,2025-04-30 10:27:42
1745980065861,1745980065441,-420,2025-04-30 10:27:45
1745980068853,1745980068438,-415,2025-04-30 10:27:48
1745980069898,1745980069483,-415,2025-04-30 10:27:49
1745980070931,1745980070515,-416,2025-04-30 10:27:50
1745980071047,1745980071641,594,2025-04-30 10:27:51
1745980072160,1745980072740,580,2025-04-30 10:27:52
1745980079227,1745980079819,592,2025-04-30 10:27:59
1745980073211,1745980073801,590,2025-04-30 10:27:53
1745980080295,1745980080886,591,2025-04-30 10:28:00
1745980084218,1745980084816,598,2025-04-30 10:28:04
1745980085285,1745980085877,592,2025-04-30 10:28:05
1745980086429,1745980087098,669,2025-04-30 10:28:07
1745980088820,1745980088405,-415,2025-04-30 10:28:08
1745980089861,1745980089444,-417,2025-04-30 10:28:09
1745980090894,1745980090479,-415,2025-04-30 10:28:10
1745980091998,1745980091605,-393,2025-04-30 10:28:11
1745980094295,1745980094891,596,2025-04-30 10:28:14
1745980096297,1745980096971,674,2025-04-30 10:28:16
1745980100066,1745980100669,603,2025-04-30 10:28:20
1745980101131,1745980101716,585,2025-04-30 10:28:21
1745980102182,1745980102780,598,2025-04-30 10:28:22
1745980103262,1745980103852,590,2025-04-30 10:28:23
1745980110374,1745980110961,587,2025-04-30 10:28:30
1745980112763,1745980112576,-187,2025-04-30 10:28:32
1745980113280,1745980113874,594,2025-04-30 10:28:33
1745980104320,1745980104972,652,2025-04-30 10:28:24
1745980114436,1745980115220,784,2025-04-30 10:28:35
1745980116938,1745980116550,-388,2025-04-30 10:28:36
1745980476892,1745980476513,-379,2025-04-30 10:34:36
1745980484851,1745980484428,-423,2025-04-30 10:34:44
1745980487556,1745980488146,590,2025-04-30 10:34:48
1745980489619,1745980489467,-152,2025-04-30 10:34:49
1745980493042,1745980493607,565,2025-04-30 10:34:53
1745980494114,1745980494787,673,2025-04-30 10:34:54
1745980478735,1745980478405,-330,2025-04-30 10:34:38
